report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,route_type,road_name,cross_street_type,cross_street_name,off_road_description,municipality,related_non_motorist,collision_type,weather,surface_condition,light,traffic_control,driver_substance_abuse,non_motorist_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,latitude,longitude,geolocation
MCP243600BK,200039462,Montgomery County Police,Property Damage Crash,2020-10-07T09:55:00.000,County,LINTON ST,County,DALEVIEW DR,,,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,29A36DD7-A6C2-4F4B-85A1-E60EA702E00C,Yes,NO APPARENT INJURY,,UNKNOWN,MD,79DCAED3-F1AD-4505-BC50-830622B6DEB8,SUPERFICIAL,TWO OCLOCK,TWO OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,30,No,No,2020,HONDA,PILOT,NO MISUSE,39.00516917,-76.99457658,"
,  
(39.00516917, -76.99457658)"
MCP2290002L,200039458,Montgomery County Police,Injury Crash,2020-10-07T09:40:00.000,County,E GUDE DR,Unknown,CALHOUN DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,60C4752C-12ED-4852-BAD5-B62CE4A87C17,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,14D418BE-7E32-4500-AA5F-DD3315542381,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,40,No,No,2020,GMC,PK,NO MISUSE,39.10540833,-77.144405,"
,  
(39.10540833, -77.144405)"
MCP2290002L,200039458,Montgomery County Police,Injury Crash,2020-10-07T09:40:00.000,County,E GUDE DR,Unknown,CALHOUN DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,DE2C5DFA-844E-49A4-802B-75CEACB0CE41,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,A3DF857A-752A-4186-A1D4-5D615240B65F,FUNCTIONAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,West,40,No,No,2013,HONDA,CIVIC,NO MISUSE,39.10540833,-77.144405,"
,  
(39.10540833, -77.144405)"
MCP2192003N,200039452,Montgomery County Police,Injury Crash,2020-10-07T09:21:00.000,Maryland (State),NEW HAMPSHIRE AVE,County,MIDLAND RD,,,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,DFCEF0B1-AC3F-411F-A071-F3F2480948A2,Yes,POSSIBLE INJURY,,UNKNOWN,MD,4A14CBB0-667E-47E1-8AD1-D1C4762FEA99,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,North,North,45,No,No,1996,TOYOTA,CAMRY,,39.07765333,-77.001465,"
,  
(39.07765333, -77.001465)"
DD5634003B,200039446,Rockville Police Departme,Property Damage Crash,2020-10-07T08:20:00.000,Municipality,LINCOLN ST,Municipality,NEAL DR,,ROCKVILLE,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,25326C6B-7A06-44F1-AE61-A77E3879E6D2,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,C7714C5E-3257-45EC-99AC-F61991C53199,NO DAMAGE,NINE OCLOCK,NINE OCLOCK,OTHER,ACCELERATING,West,West,25,No,No,2020,PETER BUILT,DUMP TRUCK,,39.08970833,-77.13241167,"
,  
(39.08970833, -77.13241167)"
MCP12910032,200039412,Montgomery County Police,Property Damage Crash,2020-10-06T20:25:00.000,Maryland (State),FREDERICK RD,Municipality,CHESTNUT ST,,GAITHERSBURG,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,B7DDB0A9-AA49-44ED-A5D4-A9F7E0F71C43,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,4530404F-013F-42CA-B075-B6FB7525C60A,DISABLING,TEN OCLOCK,TEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,No,No,2002,ACURA,RSX,NO MISUSE,39.144884999999995,-77.20276667,"
,  
(39.144885, -77.20276667)"
MCP12910032,200039412,Montgomery County Police,Property Damage Crash,2020-10-06T20:25:00.000,Maryland (State),FREDERICK RD,Municipality,CHESTNUT ST,,GAITHERSBURG,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,87C1F890-2528-4E15-BCE1-720C34361D82,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,3D035305-B226-474E-8F35-9259D87F08E1,FUNCTIONAL,ONE OCLOCK,ONE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,South,35,No,No,2005,AURA,MDX,NO MISUSE,39.144884999999995,-77.20276667,"
,  
(39.144885, -77.20276667)"
EJ7833006P,200039363,Gaithersburg Police Depar,Injury Crash,2020-10-06T16:10:00.000,Municipality,BUREAU DR,Unknown,CROSSOVER,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,92486A27-1D37-4085-B62B-20489ECA6166,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,43C8C512-3477-4F8E-B5AB-0D780C6D1E58,DISABLING,TEN OCLOCK,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,25,No,No,2014,CHEV,SILVERADO,NO MISUSE,39.1419866,-77.21759499999999,"
,  
(39.1419866, -77.217595)"
EJ7833006P,200039363,Gaithersburg Police Depar,Injury Crash,2020-10-06T16:10:00.000,Municipality,BUREAU DR,Unknown,CROSSOVER,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E2CFB1A2-522F-4C05-9882-645A72770312,Yes,POSSIBLE INJURY,,NOT DISTRACTED,MD,2CE388B4-23D9-490C-B37C-CA52F805EF60,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,West,25,No,No,2018,JEEP,LATITUDE,NO MISUSE,39.1419866,-77.21759499999999,"
,  
(39.1419866, -77.217595)"
MCP242500GD,200039358,Montgomery County Police,Property Damage Crash,2020-10-06T15:02:00.000,US (State),COLESVILLE RD,County,LEIGHTON AVE,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D266B680-E237-44A8-8667-AD9920492F68,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,0A56E09F-923C-4293-A76E-9441E1519B3A,FUNCTIONAL,TWO OCLOCK,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2004,FORD,SW,NO MISUSE,39.01076667,-77.01725833,"
,  
(39.01076667, -77.01725833)"
